cell_id,synthetic_gene_01,synthetic_gene_02,synthetic_gene_03,synthetic_gene_04,synthetic_gene_05,synthetic_gene_06,synthetic_gene_07,synthetic_gene_08,synthetic_gene_09,synthetic_gene_10,synthetic_gene_11,synthetic_gene_12,synthetic_gene_13,synthetic_gene_14,synthetic_gene_15,synthetic_gene_16,synthetic_gene_17,synthetic_gene_18,synthetic_gene_19,synthetic_gene_20,synthetic_gene_21,synthetic_gene_22,synthetic_gene_23,synthetic_gene_24
23,6,4,5,15,6,1,4,12,5,2,6,12,4,4,5,12,4,4,4,14,5,3,5,12
24,11,1,6,7,10,1,6,6,11,1,6,5,13,2,3,5,10,4,4,5,11,3,4,7
25,2,4,12,7,2,5,10,6,5,7,12,6,4,7,9,4,3,4,10,4,5,4,12,4
26,2,6,4,12,5,4,2,13,3,7,5,11,5,7,5,13,3,7,5,12,5,5,5,13
27,11,4,3,6,9,6,2,4,11,6,3,4,11,5,4,6,10,6,5,6,10,4,4,4
28,3,8,3,8,6,9,5,5,3,8,6,6,3,9,3,7,4,11,4,8,6,8,4,8
29,6,2,10,7,5,3,12,7,5,1,13,5,5,3,12,5,5,3,10,7,6,1,13,6
30,6,3,5,14,5,4,3,13,4,4,3,15,4,4,3,14,5,4,5,14,5,4,5,12
31,9,3,6,7,7,2,4,7,7,5,6,7,8,5,4,8,7,3,7,6,8,5,6,8
32,3,9,4,9,1,11,5,7,2,12,4,7,1,12,4,7,0,12,6,6,3,11,7,7
33,0,2,14,7,1,2,14,7,2,4,13,6,3,2,11,9,0,3,11,6,2,5,13,9
34,3,3,6,13,4,5,8,12,1,3,8,12,3,6,8,10,2,4,7,11,3,3,7,12
35,9,6,7,3,11,5,8,6,11,5,8,3,8,5,6,6,9,3,5,6,8,5,6,3
36,2,12,6,3,3,13,8,6,4,13,5,3,3,12,8,6,1,11,8,4,2,12,7,4
37,4,4,3,13,5,4,4,12,3,5,4,11,5,4,5,14,5,6,5,13,3,5,4,11
38,9,7,3,5,12,4,3,6,9,7,5,5,9,6,4,7,11,5,5,6,9,6,2,7
39,5,12,2,6,2,13,5,7,4,12,2,5,3,12,5,4,2,12,2,4,2,12,2,6
40,5,3,10,6,3,2,11,6,4,2,13,6,5,1,12,6,5,1,13,6,3,3,13,8
41,3,4,6,14,5,2,4,14,4,1,4,14,5,3,5,12,4,2,5,15,4,2,3,13
42,12,1,3,6,11,3,4,8,12,2,3,7,13,4,3,6,11,1,5,6,11,4,4,5
43,1,11,4,7,1,9,6,9,2,12,6,7,1,11,4,7,0,10,4,9,2,11,4,6
44,2,2,14,9,0,4,11,6,0,3,12,6,3,3,12,8,3,2,12,9,0,5,12,6
45,1,4,4,13,3,5,7,15,3,4,4,15,3,5,4,14,1,4,6,14,0,2,4,15
46,8,3,5,3,10,6,7,5,8,4,6,6,9,3,7,4,11,6,5,3,9,5,5,4
47,2,12,8,6,3,10,5,4,1,12,6,4,4,10,6,5,1,11,6,3,2,13,6,4
48,2,5,15,5,3,5,14,4,4,5,12,3,2,3,14,6,3,3,12,6,3,6,12,4
49,9,2,4,7,10,5,5,7,8,3,4,8,10,3,7,8,10,5,7,9,10,4,4,9
50,2,10,4,7,2,11,6,8,3,11,7,6,0,11,5,9,0,11,4,6,3,9,7,9
51,2,2,13,9,0,5,13,9,3,5,14,9,1,4,11,8,0,3,13,8,3,2,12,9
52,4,6,7,12,1,6,8,11,1,5,7,11,4,4,6,12,4,5,5,11,1,3,8,11
53,11,4,6,3,11,5,6,4,8,3,8,5,10,3,7,3,8,4,5,3,9,3,7,4
54,3,13,5,5,4,11,6,3,3,10,8,5,1,13,8,4,4,13,8,6,4,13,6,3
55,5,6,12,7,4,6,10,7,5,7,9,7,3,6,11,5,3,7,11,6,2,6,9,5
56,2,5,4,13,2,7,5,12,3,7,2,13,4,4,3,12,5,6,4,12,4,6,2,12
57,9,5,5,4,11,5,4,4,11,4,2,7,10,5,2,7,10,6,4,5,9,6,4,6
58,3,11,3,6,5,8,5,6,5,8,6,5,5,11,3,8,6,10,6,8,4,11,6,7
59,5,4,11,5,5,4,12,6,3,4,13,7,6,3,12,7,4,4,10,6,3,1,10,5
60,3,2,4,13,3,4,6,14,4,4,6,14,5,3,5,12,5,2,6,13,6,1,3,13
61,3,9,4,7,0,12,7,6,2,11,6,8,3,11,5,9,1,9,4,6,0,9,6,8
62,1,4,13,6,0,2,13,7,1,4,12,6,2,2,13,8,1,5,13,9,0,3,11,9
63,1,4,4,14,0,4,6,15,2,5,6,15,0,5,5,13,1,2,4,14,0,5,5,15
64,11,4,5,5,8,3,7,6,8,3,7,6,8,6,7,3,8,3,5,4,9,5,6,6
65,3,12,8,6,4,12,6,5,1,10,5,6,2,13,7,4,1,11,8,4,3,10,7,3
66,4,4,14,4,1,5,12,4,3,3,15,4,2,3,12,5,4,3,15,5,4,5,14,6
67,4,7,2,12,4,6,2,12,5,5,5,14,3,6,2,11,2,6,4,14,2,7,4,11
68,9,4,3,5,10,6,2,7,10,4,4,5,11,6,5,7,9,5,5,7,9,5,3,5
69,3,12,3,5,2,13,3,6,2,14,3,4,5,13,4,7,3,13,3,4,3,13,3,5
70,6,4,12,5,5,2,11,7,4,2,10,5,3,3,11,7,5,2,13,7,5,3,12,7
71,6,3,4,12,4,4,3,13,5,4,5,14,5,1,6,12,5,2,3,13,3,3,6,15
72,11,2,5,6,13,4,3,5,12,3,6,6,10,4,4,8,12,3,3,5,10,2,5,7
73,5,7,9,7,5,4,12,4,4,6,10,7,5,6,10,4,2,6,12,5,3,5,12,5
74,4,7,2,11,5,5,5,14,3,6,5,14,4,5,3,13,2,4,2,11,2,6,4,12
75,10,4,4,4,10,4,4,7,10,5,4,7,12,7,3,5,10,4,5,4,9,5,2,5
76,6,8,3,7,6,11,5,8,5,10,3,6,5,8,4,5,3,10,5,5,5,8,3,5
77,3,1,10,6,4,2,12,7,6,2,12,8,4,2,13,7,6,3,13,8,5,3,11,7
78,6,3,6,13,4,1,5,12,3,1,6,12,5,1,3,13,3,1,5,14,4,2,4,14
79,10,3,4,7,8,5,5,8,8,3,6,9,8,4,4,6,7,3,6,9,9,2,7,7
80,3,10,4,6,2,10,7,6,0,10,4,6,1,9,4,6,2,12,7,6,2,11,5,6
81,2,3,12,7,2,2,14,8,0,4,13,7,2,5,11,6,3,4,14,9,3,5,12,9
82,3,4,8,11,1,3,8,10,2,4,5,12,1,3,5,13,3,5,7,10,2,3,5,10
83,10,5,8,5,11,6,5,6,8,6,8,6,9,4,8,6,11,6,6,5,10,4,7,5
84,3,12,8,3,2,12,6,3,2,13,6,5,1,11,6,4,1,10,8,4,2,13,5,6
85,2,4,3,12,3,5,2,11,4,7,5,12,4,4,2,13,2,6,4,13,2,7,3,11
86,11,6,3,7,10,4,5,5,9,4,4,4,10,5,3,4,9,4,2,5,9,6,5,4
87,3,12,4,5,2,11,5,4,4,14,5,7,2,12,4,5,3,11,2,5,4,13,5,5
88,6,2,10,7,4,3,11,8,3,1,12,7,4,3,11,8,4,2,13,8,5,2,10,5
89,6,4,6,13,4,2,6,12,6,2,4,15,5,4,6,13,6,1,6,12,6,2,5,14
90,11,4,5,8,11,3,3,8,10,1,4,8,13,1,4,7,12,4,3,5,13,2,4,7
91,3,11,6,9,1,12,7,7,0,11,4,8,3,11,4,6,0,11,7,8,1,11,5,9
92,2,5,11,6,2,2,13,9,3,3,13,7,1,3,14,7,3,3,11,9,3,5,11,8
93,3,4,4,15,1,2,7,15,3,3,5,14,2,5,6,13,3,4,4,16,0,2,4,14
94,9,4,5,3,9,3,5,3,10,4,7,6,11,3,7,5,11,4,5,6,8,5,6,4
95,3,10,8,5,2,13,7,5,1,10,6,3,3,11,7,5,3,10,6,5,1,10,8,4
96,3,5,15,3,3,6,15,6,3,6,13,5,3,6,15,5,3,5,15,5,4,3,14,3
